Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
1601967600,2020-10-06 07-AM,ETHEUR,299.51,299.53,299.51,299.53,0,0
1601964000,2020-10-06 06-AM,ETHEUR,300.01,300.08,299.29,299.51,648.59,194320.31
1601960400,2020-10-06 05-AM,ETHEUR,300.46,300.46,299.44,300.01,727.78,218097.56
1601956800,2020-10-06 04-AM,ETHEUR,300.11,300.71,300.11,300.46,143.46,43095.85
1601953200,2020-10-06 03-AM,ETHEUR,300.01,300.36,299.42,300.11,55.54,16651.4
1601949600,2020-10-06 02-AM,ETHEUR,299.36,300.36,299.36,300.01,51.07,15322.1
1601946000,2020-10-06 01-AM,ETHEUR,298.97,299.58,298.78,299.36,46.86,14008.22
1601942400,2020-10-06 12-AM,ETHEUR,299.86,300.91,298.88,298.97,180.15,53988.9
1601938800,2020-10-05 11-PM,ETHEUR,299.13,300.07,299,299.86,321.38,96282.03
1601935200,2020-10-05 10-PM,ETHEUR,299.33,300.07,299.13,299.13,354.78,106310.47
1601931600,2020-10-05 09-PM,ETHEUR,298.8,299.79,298.72,299.33,301.99,90403.42
1601928000,2020-10-05 08-PM,ETHEUR,298.49,299.26,298.17,298.8,588.07,175817.68
1601924400,2020-10-05 07-PM,ETHEUR,298.52,299.09,298.27,298.49,339.73,101462.77
1601920800,2020-10-05 06-PM,ETHEUR,297.94,298.65,297.12,298.52,935.55,278519.7
1601917200,2020-10-05 05-PM,ETHEUR,300.24,300.24,297.94,297.94,853.57,255464.73
1601913600,2020-10-05 04-PM,ETHEUR,299.56,300.29,299.01,300.24,357.28,107005.59
1601910000,2020-10-05 03-PM,ETHEUR,299.43,300.18,299.2,299.56,259.72,77811.29
1601906400,2020-10-05 02-PM,ETHEUR,299.38,300.52,298.8,299.43,1433.82,429762.77
1601902800,2020-10-05 01-PM,ETHEUR,299.83,300.69,299.27,299.38,1370.78,410871.08
1601899200,2020-10-05 12-PM,ETHEUR,298.32,299.83,297.89,299.83,1032.08,308155.49
1601895600,2020-10-05 11-AM,ETHEUR,299.28,299.89,298.31,298.32,1471.21,439829.36
1601892000,2020-10-05 10-AM,ETHEUR,299.17,299.89,298.66,299.28,551.32,164912.44
1601888400,2020-10-05 09-AM,ETHEUR,298.61,299.93,298.11,299.17,1731.42,517569.87
1601884800,2020-10-05 08-AM,ETHEUR,299.44,299.68,298.59,298.61,689.81,206344.88
1601881200,2020-10-05 07-AM,ETHEUR,299.6,300.18,298.75,299.44,737.3,220687.28
1601877600,2020-10-05 06-AM,ETHEUR,300.69,300.69,297.72,299.6,895.41,268278.71
1601874000,2020-10-05 05-AM,ETHEUR,299.74,300.9,299.74,300.69,216.95,65137.42
1601870400,2020-10-05 04-AM,ETHEUR,300.51,300.83,299.68,299.74,150.41,45151.41
1601866800,2020-10-05 03-AM,ETHEUR,302.08,302.2,299.95,300.51,273.16,82399.49
1601863200,2020-10-05 02-AM,ETHEUR,301.52,302.08,301.52,302.08,39.8,12012.8
1601859600,2020-10-05 01-AM,ETHEUR,302.11,302.54,301.52,301.52,75.62,22844.71
1601856000,2020-10-05 12-AM,ETHEUR,300.86,303.64,300.71,302.11,1179.01,356500.23
1601852400,2020-10-04 11-PM,ETHEUR,300.83,301.09,300.61,300.86,152.29,45822.24
1601848800,2020-10-04 10-PM,ETHEUR,300.35,301.26,300.15,300.83,331.92,99824.74
1601845200,2020-10-04 09-PM,ETHEUR,300.38,301.26,300.2,300.35,323.13,97206.89
1601841600,2020-10-04 08-PM,ETHEUR,301.34,302.59,300.15,300.38,811.76,244466.53
1601838000,2020-10-04 07-PM,ETHEUR,300.02,302.39,300.02,301.34,1216.24,365905.14
1601834400,2020-10-04 06-PM,ETHEUR,297.94,301.22,297.94,300.02,1809.74,542606.05
1601830800,2020-10-04 05-PM,ETHEUR,297.4,298,297.28,297.94,433.52,129076.6
1601827200,2020-10-04 04-PM,ETHEUR,296.54,297.4,296.24,297.4,125.74,37365.44
1601823600,2020-10-04 03-PM,ETHEUR,297.07,297.71,296.24,296.54,154.56,45898.62
1601820000,2020-10-04 02-PM,ETHEUR,297.33,297.99,296.7,297.07,374.83,111491.56
1601816400,2020-10-04 01-PM,ETHEUR,297.46,298.77,296.99,297.33,595.92,177272.34
1601812800,2020-10-04 12-PM,ETHEUR,297,297.46,294.84,297.46,462.22,136634.23
1601809200,2020-10-04 11-AM,ETHEUR,295.99,297,295.93,297,259.32,76885.98
1601805600,2020-10-04 10-AM,ETHEUR,296.95,296.99,295.45,295.99,285.37,84470.34
1601802000,2020-10-04 09-AM,ETHEUR,297.35,297.52,296.54,296.95,106.55,31651.17
1601798400,2020-10-04 08-AM,ETHEUR,297.98,298.52,297.19,297.35,513.16,152862.02
1601794800,2020-10-04 07-AM,ETHEUR,298.95,298.99,297.84,297.98,176.46,52604.44
1601791200,2020-10-04 06-AM,ETHEUR,296.41,298.95,296.41,298.95,404.31,120675.78
1601787600,2020-10-04 05-AM,ETHEUR,296.53,296.85,296.4,296.41,58.93,17484.48
1601784000,2020-10-04 04-AM,ETHEUR,295.83,296.81,295.78,296.53,238.19,70554.51
1601780400,2020-10-04 03-AM,ETHEUR,296.02,296.31,295.8,295.83,58.43,17299.56
1601776800,2020-10-04 02-AM,ETHEUR,295.45,296.02,294.38,296.02,102.33,30188.81
1601773200,2020-10-04 01-AM,ETHEUR,297.08,297.08,294.3,295.45,427.99,126259.91
1601769600,2020-10-04 12-AM,ETHEUR,296.07,297.16,295.35,297.08,709.36,210389.99
1601766000,2020-10-03 11-PM,ETHEUR,296.97,297.17,295.72,296.07,396.66,117559.08
1601762400,2020-10-03 10-PM,ETHEUR,298.43,298.44,296.2,296.97,1529.43,454234.83
1601758800,2020-10-03 09-PM,ETHEUR,298.45,298.52,298.01,298.43,212.45,63363.98
1601755200,2020-10-03 08-PM,ETHEUR,299.5,299.66,298,298.45,863.49,258118.76
1601751600,2020-10-03 07-PM,ETHEUR,299.63,300.1,299.5,299.5,298.89,89655.2
1601748000,2020-10-03 06-PM,ETHEUR,297.7,300.18,297.69,299.63,1479.61,442944.25
1601744400,2020-10-03 05-PM,ETHEUR,297.41,297.85,296.85,297.7,234.87,69823.48
1601740800,2020-10-03 04-PM,ETHEUR,296.98,298.07,296.42,297.41,679.56,202066.89
1601737200,2020-10-03 03-PM,ETHEUR,296.18,296.98,296.05,296.98,403.63,119710.73
1601733600,2020-10-03 02-PM,ETHEUR,295.95,296.92,295.91,296.18,246.67,73137.4
1601730000,2020-10-03 01-PM,ETHEUR,296.3,296.68,295.84,295.95,598.36,177150.23
1601726400,2020-10-03 12-PM,ETHEUR,297.39,297.4,295.95,296.3,378.44,112142.65
1601722800,2020-10-03 11-AM,ETHEUR,297.89,298.85,297.12,297.39,658.53,196201.94
1601719200,2020-10-03 10-AM,ETHEUR,295.92,297.89,295.85,297.89,617.03,183409.11
