Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
1601942400,2020-10-06,LTCEUR,39.28,39.61,39.15,39.49,430.22,16954.63
1601856000,2020-10-05,LTCEUR,39.87,40.18,38.72,39.28,6871.1,269098.84
1601769600,2020-10-04,LTCEUR,38.93,40.15,38.77,39.87,6799.84,268718.51
1601683200,2020-10-03,LTCEUR,38.41,39.3,38.4,38.93,3165.13,123121.59
1601596800,2020-10-02,LTCEUR,39.3,40.11,36.97,38.41,16779.5,643561.67
1601510400,2020-10-01,LTCEUR,39.51,41.35,38.57,39.3,21877.67,876288.27
1601424000,2020-09-30,LTCEUR,38.95,39.84,38.77,39.51,8531.49,334871.31
1601337600,2020-09-29,LTCEUR,38.82,39.24,38.36,38.95,7398.88,287726.62
1601251200,2020-09-28,LTCEUR,39.55,40.5,38.47,38.82,13843.86,550815.52
1601164800,2020-09-27,LTCEUR,39.65,40.14,38.36,39.55,5506.37,216889.34
1601078400,2020-09-26,LTCEUR,39.56,40.05,38.87,39.65,6519.42,257261.85
1600992000,2020-09-25,LTCEUR,38.44,40,37.81,39.56,12602.51,495157.57
1600905600,2020-09-24,LTCEUR,36.86,38.78,36.58,38.44,19817.86,752799.45
1600819200,2020-09-23,LTCEUR,37.85,38.68,36.31,36.86,16013.15,605426.59
1600732800,2020-09-22,LTCEUR,36.75,38.28,36.4,37.85,7660.48,286915.05
1600646400,2020-09-21,LTCEUR,39.79,40.17,35.6,36.75,30700.44,1144371.11
1600560000,2020-09-20,LTCEUR,41.02,41.02,39.14,39.79,10575.56,423564.68
1600473600,2020-09-19,LTCEUR,41,41.39,40.64,41.02,3803.31,155714.65
1600387200,2020-09-18,LTCEUR,41.38,41.43,40.22,41,12369.99,504748.04
1600300800,2020-09-17,LTCEUR,40.42,42.14,40.42,41.38,8613.33,355387.47
1600214400,2020-09-16,LTCEUR,40.72,41.26,39.78,40.42,12942.35,525990.2
1600128000,2020-09-15,LTCEUR,41.4,42.4,40.72,40.72,15895.23,658242.08
1600041600,2020-09-14,LTCEUR,40.69,41.84,39.92,41.4,17165.17,704743.25
1599955200,2020-09-13,LTCEUR,42.98,43.1,40.08,40.69,15501.89,637550.2
1599868800,2020-09-12,LTCEUR,41.47,43.35,41,42.98,12554.77,530280.67
1599782400,2020-09-11,LTCEUR,41.09,41.78,40.25,41.47,7775.73,319368
1599696000,2020-09-10,LTCEUR,40.59,41.89,40.57,41.09,7394.46,304814.41
1599609600,2020-09-09,LTCEUR,40.36,41.41,39.62,40.59,7006.66,285222.17
1599523200,2020-09-08,LTCEUR,41.37,41.83,39.2,40.36,29303.88,1182439.6
1599436800,2020-09-07,LTCEUR,40.63,41.64,38.34,41.37,30851,1244510.01
1599350400,2020-09-06,LTCEUR,40.39,41.6,39.18,40.63,13363.22,543828.09
1599264000,2020-09-05,LTCEUR,42.78,43.49,38.5,40.39,28917.51,1169721.29
1599177600,2020-09-04,LTCEUR,40.13,44.46,39.46,42.78,47333.69,1986538.37
1599091200,2020-09-03,LTCEUR,49.17,49.6,38.57,40.13,55129.48,2503439.37
1599004800,2020-09-02,LTCEUR,52.61,52.96,48,49.17,44425.35,2199570.59
1598918400,2020-09-01,LTCEUR,51.2,53.98,50.16,52.61,32435.88,1710664.66
1598832000,2020-08-31,LTCEUR,52.75,53.4,50.87,51.2,21131.91,1099574.81
1598745600,2020-08-30,LTCEUR,47.99,52.81,47.99,52.75,22490.04,1157462.42
1598659200,2020-08-29,LTCEUR,48.17,48.99,47.99,47.99,5088.09,246713.35
1598572800,2020-08-28,LTCEUR,47.46,49,46.97,48.17,9779.85,472591.64
1598486400,2020-08-27,LTCEUR,49.14,49.95,45.86,47.46,26639.36,1280472.06
1598400000,2020-08-26,LTCEUR,49.51,50.06,48.46,49.14,20359.02,1002793.67
1598313600,2020-08-25,LTCEUR,52.82,52.87,48.03,49.51,36915.22,1845112.56
1598227200,2020-08-24,LTCEUR,51.42,53.45,51.01,52.82,19784.7,1040844.71
1598140800,2020-08-23,LTCEUR,51.21,52.31,49.4,51.42,13518,687082.64
1598054400,2020-08-22,LTCEUR,50.25,51.39,49.23,51.21,14900.71,747768.66
1597968000,2020-08-21,LTCEUR,53.08,53.85,50.02,50.25,33809.77,1752072.62
1597881600,2020-08-20,LTCEUR,52.42,53.82,51.67,53.08,30845.64,1632464.33
1597795200,2020-08-19,LTCEUR,54.9,56.18,49.74,52.42,79166.16,4140184.21
1597708800,2020-08-18,LTCEUR,56.59,57.61,53.33,54.9,48824.79,2705877.48
1597622400,2020-08-17,LTCEUR,53.96,58.1,51.96,56.59,88399.31,4855264.18
1597536000,2020-08-16,LTCEUR,50.63,54.57,48.49,53.96,52376.76,2727932.7
1597449600,2020-08-15,LTCEUR,47.97,51.39,47.93,50.63,35635.39,1784632.85
1597363200,2020-08-14,LTCEUR,48.21,48.97,47.39,47.97,24071.44,1157054.01
1597276800,2020-08-13,LTCEUR,46.3,48.5,43.93,48.21,29310.15,1350858
1597190400,2020-08-12,LTCEUR,46.19,46.91,44.1,46.3,30476.86,1405221.35
1597104000,2020-08-11,LTCEUR,49.72,50.86,44.74,46.19,36747.89,1743683.06
1597017600,2020-08-10,LTCEUR,48.37,50.6,48.21,49.72,21723.28,1073344.88
1596931200,2020-08-09,LTCEUR,49.59,49.73,47.74,48.37,10997.6,533267.35
1596844800,2020-08-08,LTCEUR,48.64,49.69,48.04,49.59,13590.95,666368.99
1596758400,2020-08-07,LTCEUR,49.78,51.7,47,48.64,39115.57,1941971.27
1596672000,2020-08-06,LTCEUR,49.7,51.27,48.71,49.78,28290.22,1414409.47
1596585600,2020-08-05,LTCEUR,48.79,50.45,48.22,49.7,21230.28,1053393.43
1596499200,2020-08-04,LTCEUR,49.89,50.78,48.19,48.79,20817.18,1022940.78
1596412800,2020-08-03,LTCEUR,48.09,51.25,47.43,49.89,27618.92,1377846.19
1596326400,2020-08-02,LTCEUR,52.46,55.34,45.5,48.09,64776.12,3194283.47
1596240000,2020-08-01,LTCEUR,49.47,53,48.98,52.46,43006.12,2208004.57
1596153600,2020-07-31,LTCEUR,47.75,50.22,47.11,49.47,33042.99,1614782.38
1596067200,2020-07-30,LTCEUR,47.13,49.79,45.92,47.75,35533.68,1695932.92
1595980800,2020-07-29,LTCEUR,47.76,48.59,46.68,47.13,25929.8,1230710.62
1595894400,2020-07-28,LTCEUR,45.35,49.5,44.04,47.76,61397.63,2869614.95
1595808000,2020-07-27,LTCEUR,41.29,47.51,39.83,45.35,69991.44,3044103.84
1595721600,2020-07-26,LTCEUR,42.15,43.56,40.84,41.29,28017.9,1173417.71
1595635200,2020-07-25,LTCEUR,37.99,42.51,37.91,42.15,32197.55,1318600.82
1595548800,2020-07-24,LTCEUR,38.83,38.83,37.93,37.99,8268.26,316664.56
1595462400,2020-07-23,LTCEUR,38.97,39.44,38.54,38.83,16491.9,642715.32
1595376000,2020-07-22,LTCEUR,38.03,39.02,37.5,38.97,17718.09,669442.94
1595289600,2020-07-21,LTCEUR,36.84,38.63,36.67,38.03,11760.87,447797.97
1595203200,2020-07-20,LTCEUR,37.31,37.48,36.31,36.84,6246.09,230601.04
1595116800,2020-07-19,LTCEUR,37.23,37.52,36.73,37.31,4166.72,154403.55
1595030400,2020-07-18,LTCEUR,36.74,37.56,36.61,37.23,3736.4,139153.4
1594944000,2020-07-17,LTCEUR,36.93,37.18,36.64,36.74,6089.8,223968.79
1594857600,2020-07-16,LTCEUR,37.98,38.06,36.05,36.93,19666.74,722772.54
1594771200,2020-07-15,LTCEUR,38.5,38.56,37.66,37.98,9208.48,350007.37
1594684800,2020-07-14,LTCEUR,38.8,38.8,37.86,38.5,8369.96,320851.61
1594598400,2020-07-13,LTCEUR,39.55,40.27,37.69,38.8,21359.25,831414.59
1594512000,2020-07-12,LTCEUR,39.56,40.08,38.81,39.55,10497.23,415672
1594425600,2020-07-11,LTCEUR,39.26,39.64,38.91,39.56,5202.05,204301.74
1594339200,2020-07-10,LTCEUR,39.34,39.59,38.68,39.26,7015.49,274755.02
1594252800,2020-07-09,LTCEUR,40.01,40.48,38.67,39.34,13215.58,523992.73
1594166400,2020-07-08,LTCEUR,38.5,40.3,38.37,40.01,20433.88,813229.42
1594080000,2020-07-07,LTCEUR,38.92,39.26,38.26,38.5,4727.38,182501.62
